Date,TNB_Share_Price_Day,TNB_Volume_Day,KLCI_Day,MSCI_Day,TNB_Share_Price_Close,TNB_Volume_Close,KLCI_Close,MSCI_Close
9/4/2024,11.7,0.8593,1557.24,177.11,11.66,2.9101,1553.51,177.34
12/4/2024,11.68,1.6693,1549.15,176.05,11.7,4.3659,1551.04,176.05
15/4/2024,11.66,3.3923,1544.58,173.93,11.6,7.3416,1542.53,173.78
16/4/2024,11.46,2.0656,1536.53,170.24,11.48,4.3919,1535.0,169.98
17/4/2024,11.46,1.418,1533.76,169.9,11.52,5.746,1540.42,169.44
18/4/2024,11.64,3.8302,1544.32,171.01,11.6,7.3517,1547.46,170.49
22/4/2024,11.66,1.7297,1557.38,168.7,11.64,5.3272,1559.59,169.06
22/4/2024,11.66,1.7297,1557.52,168.72,11.64,5.3272,1559.59,169.06
22/4/2024,11.66,1.7297,1557.52,169.06,11.64,5.3272,1559.59,169.06
23/4/2024,11.66,1.7193,1565.14,170.37,11.72,5.9399,1561.64,170.38
24/4/2024,11.78,2.5255,1567.91,173.06,11.86,9.7501,1571.48,173.14
25/4/2024,11.82,1.0751,1570.29,171.68,11.86,6.8908,1569.25,171.65
26/4/2024,11.88,3.4712,1573.0,172.57,11.92,7.5931,1573.8,172.71
29/4/2024,11.92,0.7822,1581.7,173.74,11.92,4.734,1582.66,173.92
30/4/2024,11.92,2.5226,1579.46,174.9,11.96,6.8687,1575.97,174.74
02/5/2024,11.98,1.9878,1576.32,175.06,12.02,10.1211,1580.3,175.21
03/5/2024,12.32,6.7363,1586.43,177.42,12.32,14.7343,1589.59,177.37
06/5/2024,12.4,3.6914,1593.98,177.69,12.38,10.394,1597.39,178.04
07/5/2024,12.4,2.2916,1609.36,178.09,12.48,7.5123,1605.68,178.22
08/5/2024,12.38,1.8071,1605.33,176.66,12.4,7.0719,1604.75,176.58
09/5/2024,12.44,2.1839,1600.47,177.07,12.44,5.0251,1601.22,176.07
10/5/2024,12.38,1.8822,1600.58,177.4,12.4,4.6709,1600.67,177.69
13/5/2024,12.38,1.5776,1603.49,177.4,12.4,4.9521,1602.91,178.09
14/5/2024,12.42,1.9023,1606.03,178.12,12.44,4.5139,1605.88,178.51
15/5/2024,12.44,1.6334,1605.63,179.45,12.4,6.9525,1603.23,179.44
16/5/2024,12.62,2.4465,1610.11,181.86,12.66,6.2449,1611.11,181.91
17/5/2024,12.6,1.3374,1617.01,181.16,12.6,8.5266,1616.62,181.5
20/5/2024,12.76,4.3552,1628.9,182.68,12.78,12.0673,1627.5,182.6
21/5/2024,12.82,3.9514,1624.47,181.01,12.78,9.5003,1622.09,181.13
23/5/2024,13.08,6.924,1628.31,180.87,13.1,15.0973,1629.18,181.02
24/5/2024,13.12,2.4242,1619.19,179.35,13.1,6.3673,1619.4,179.36
27/5/2024,13.14,5.6409,1619.19,180.23,13.12,10.7756,1618.27,181.09
28/5/2024,13.24,2.3071,1615.56,181.53,13.22,5.5473,1615.82,180.96
29/5/2024,13.08,2.8854,1608.93,179.01,13.2,6.4234,1605.35,178.39
30/5/2024,13.16,3.2576,1608.2,176.69,13.18,7.9933,1604.26,176.5
31/5/2024,13.02,3.5504,1602.65,177.67,13.04,13.1706,1596.68,176.77
04/6/2024,12.98,8.3391,1607.95,179.46,12.98,16.719,1615.4,178.65
05/6/2024,13.24,6.0365,1613.39,178.37,13.26,11.7364,1608.53,178.68
06/6/2024,13.7,9.3843,1611.78,180.44,13.7,20.6733,1614.73,180.22
07/6/2024,13.78,7.0487,1617.62,180.2,13.76,14.9155,1617.86,180.72
10/6/2024,13.76,5.9574,1615.14,180.09,13.72,10.4453,1614.37,180.06
11/6/2024,13.7,6.1393,1610.48,179.37,13.8,14.5122,1611.49,179.24
12/6/2024,14.0,4.5199,1613.74,178.65,13.88,9.2427,1608.95,178.96
13/6/2024,14.14,5.2702,1613.14,179.69,14.14,12.5291,1610.17,179.67
14/6/2024,14.14,4.8056,1607.37,179.41,14.08,9.4981,1607.32,179.66
18/6/2024,14.18,5.3387,1611.71,179.3,14.02,13.0613,1607.53,179.04
19/6/2024,13.92,3.7909,1602.37,180.8,13.86,11.1602,1599.79,181.05
20/6/2024,13.74,5.1815,1591.67,180.61,13.8,11.8417,1592.69,180.71
21/6/2024,13.76,4.0124,1596.24,179.97,13.72,48.0826,1590.37,179.57
24/6/2024,13.72,7.7039,1589.87,178.64,13.72,16.2218,1589.66,179.05
25/6/2024,14.0,4.7752,1590.44,180.18,14.0,11.0228,1585.38,180.6
26/6/2024,13.92,2.7176,1589.82,180.62,13.92,6.7806,1590.95,180.6
27/6/2024,13.92,2.4339,1584.34,179.49,13.94,8.4314,1584.94,179.93
28/6/2024,13.76,5.504,1587.9,180.52,13.78,11.3694,1590.09,180.52
01/7/2024,13.82,3.4563,1594.95,180.57,14.0,8.8122,1598.2,180.86
02/7/2024,14.08,4.0694,1599.47,180.57,14.0,7.9786,1597.96,180.65
03/7/2024,14.12,4.7817,1607.1,181.83,14.18,10.0995,1615.32,182.08
04/7/2024,14.22,2.7115,1617.71,184.17,14.24,6.7919,1616.75,184.54
05/7/2024,14.22,1.3813,1614.41,184.45,14.22,4.6483,1611.02,184.65
09/7/2024,14.4,5.1424,1616.51,185.04,14.42,10.672,1614.42,185.11
10/7/2024,14.42,4.5167,1615.67,184.95,14.4,9.9689,1618.38,185.19
11/7/2024,14.48,2.0,1624.63,187.12,14.6,11.9162,1623.12,187.29
12/7/2024,14.56,3.1185,1618.87,187.16,14.46,8.3603,1619.15,187.4
15/7/2024,14.48,0.8575,1626.1,187.39,14.48,4.2444,1629.82,187.61
16/7/2024,14.44,3.9344,1625.92,187.11,14.46,9.0434,1625.96,187.11
17/7/2024,14.58,2.012,1636.62,186.99,14.5,6.5729,1633.54,187.94
18/7/2024,14.46,1.2744,1631.93,185.86,14.44,5.5849,1633.81,185.96
19/7/2024,14.46,2.2198,1637.08,183.38,14.44,4.9049,1636.55,183.27
22/7/2024,14.4,2.3698,1619.31,181.51,14.44,4.8859,1622.07,182.12
23/7/2024,14.44,2.0175,1630.53,182.95,14.44,7.213,1629.68,182.83
24/7/2024,14.4,0.4334,1622.68,182.14,14.4,3.1611,1621.14,182.01
25/7/2024,14.24,3.5275,1616.7,179.73,14.0,15.572,1615.18,179.84
26/7/2024,13.94,3.5792,1614.05,178.82,14.02,8.4254,1612.88,178.53
29/7/2024,14.18,2.7139,1624.76,181.19,14.1,6.3465,1624.56,180.89
30/7/2024,14.26,3.778,1623.1,179.87,14.1,8.9438,1611.94,179.71
31/7/2024,14.08,3.9545,1618.69,181.31,14.08,15.2755,1625.57,183.64
01/8/2024,14.06,4.0522,1623.89,182.74,14.1,10.5271,1624.25,182.32
02/8/2024,13.98,3.6923,1612.13,177.28,13.96,7.9071,1611.05,176.0
05/8/2024,13.36,8.4557,1566.67,169.95,13.16,25.61,1536.48,166.28
06/8/2024,13.64,7.4791,1567.91,169.92,13.64,14.8435,1574.39,171.21
07/8/2024,14.14,6.478,1593.71,174.89,13.94,15.1807,1591.87,174.08
08/8/2024,13.94,3.0281,1592.03,173.66,14.0,7.7585,1590.38,173.24
09/8/2024,13.96,2.5154,1599.34,175.39,13.94,5.4893,1596.05,175.21
12/8/2024,13.94,2.5659,1603.87,175.52,13.94,6.9429,1606.66,175.66
13/8/2024,13.9,1.847,1606.71,177.41,13.9,5.8553,1609.52,177.35
14/8/2024,13.88,1.5191,1607.21,178.57,13.84,4.9506,1612.35,179.09
15/8/2024,13.84,2.1696,1609.94,179.33,13.84,5.4165,1612.94,179.13
16/8/2024,13.86,2.7071,1617.81,181.92,13.86,7.6258,1623.9,182.64
19/8/2024,13.92,2.604,1641.73,183.86,13.9,6.8285,1648.7,183.82
20/8/2024,14.0,7.842,1645.72,184.52,14.0,14.9073,1642.77,184.82
21/8/2024,13.86,1.4463,1639.55,184.37,13.9,4.1615,1635.32,184.2
22/8/2024,13.84,0.9078,1637.31,184.68,13.86,3.7605,1641.66,184.93
23/8/2024,13.74,0.9912,1636.8,185.09,,,,
